,tile_ID,geometry,position
30,30,"POLYGON ((-77.08386228863523 38.91056037311766, -77.08386228863523 38.917550066233616, -77.07487913579403 38.917550066233616, -77.07487913579403 38.91056037311766, -77.08386228863523 38.91056037311766))","[4,12]"
31,31,"POLYGON ((-77.08386228863523 38.917550066233616, -77.08386228863523 38.92453907094813, -77.07487913579403 38.92453907094813, -77.07487913579403 38.917550066233616, -77.08386228863523 38.917550066233616))","[4,11]"
32,32,"POLYGON ((-77.08386228863523 38.92453907094813, -77.08386228863523 38.93152738722498, -77.07487913579403 38.93152738722498, -77.07487913579403 38.92453907094813, -77.08386228863523 38.92453907094813))","[4,10]"
33,33,"POLYGON ((-77.08386228863523 38.93152738722498, -77.08386228863523 38.938515015028074, -77.07487913579403 38.938515015028074, -77.07487913579403 38.93152738722498, -77.08386228863523 38.93152738722498))","[4,9]"
34,34,"POLYGON ((-77.08386228863523 38.938515015028074, -77.08386228863523 38.94550195432127, -77.07487913579403 38.94550195432127, -77.07487913579403 38.938515015028074, -77.08386228863523 38.938515015028074))","[4,8]"
35,35,"POLYGON ((-77.08386228863523 38.94550195432127, -77.08386228863523 38.95248820506855, -77.07487913579403 38.95248820506855, -77.07487913579403 38.94550195432127, -77.08386228863523 38.94550195432127))","[4,7]"
36,36,"POLYGON ((-77.08386228863523 38.95248820506855, -77.08386228863523 38.959473767233916, -77.07487913579403 38.959473767233916, -77.07487913579403 38.95248820506855, -77.08386228863523 38.95248820506855))","[4,6]"
37,37,"POLYGON ((-77.08386228863523 38.959473767233916, -77.08386228863523 38.96645864078138, -77.07487913579403 38.96645864078138, -77.07487913579403 38.959473767233916, -77.08386228863523 38.959473767233916))","[4,5]"
38,38,"POLYGON ((-77.08386228863523 38.96645864078138, -77.08386228863523 38.97344282567505, -77.07487913579403 38.97344282567505, -77.07487913579403 38.96645864078138, -77.08386228863523 38.96645864078138))","[4,4]"
39,39,"POLYGON ((-77.07487913579403 38.88958716372352, -77.07487913579403 38.89657892182632, -77.06589598295284 38.89657892182632, -77.06589598295284 38.88958716372352, -77.07487913579403 38.88958716372352))","[5,15]"
40,40,"POLYGON ((-77.07487913579403 38.89657892182632, -77.07487913579403 38.90356999163647, -77.06589598295284 38.90356999163647, -77.06589598295284 38.89657892182632, -77.07487913579403 38.89657892182632))","[5,14]"
41,41,"POLYGON ((-77.07487913579403 38.90356999163647, -77.07487913579403 38.91056037311766, -77.06589598295284 38.91056037311766, -77.06589598295284 38.90356999163647, -77.07487913579403 38.90356999163647))","[5,13]"
42,42,"POLYGON ((-77.07487913579403 38.91056037311766, -77.07487913579403 38.917550066233616, -77.06589598295284 38.917550066233616, -77.06589598295284 38.91056037311766, -77.07487913579403 38.91056037311766))","[5,12]"
43,43,"POLYGON ((-77.07487913579403 38.917550066233616, -77.07487913579403 38.92453907094813, -77.06589598295284 38.92453907094813, -77.06589598295284 38.917550066233616, -77.07487913579403 38.917550066233616))","[5,11]"
44,44,"POLYGON ((-77.07487913579403 38.92453907094813, -77.07487913579403 38.93152738722498, -77.06589598295284 38.93152738722498, -77.06589598295284 38.92453907094813, -77.07487913579403 38.92453907094813))","[5,10]"
45,45,"POLYGON ((-77.07487913579403 38.93152738722498, -77.07487913579403 38.938515015028074, -77.06589598295284 38.938515015028074, -77.06589598295284 38.93152738722498, -77.07487913579403 38.93152738722498))","[5,9]"
46,46,"POLYGON ((-77.07487913579403 38.938515015028074, -77.07487913579403 38.94550195432127, -77.06589598295284 38.94550195432127, -77.06589598295284 38.938515015028074, -77.07487913579403 38.938515015028074))","[5,8]"
47,47,"POLYGON ((-77.07487913579403 38.94550195432127, -77.07487913579403 38.95248820506855, -77.06589598295284 38.95248820506855, -77.06589598295284 38.94550195432127, -77.07487913579403 38.94550195432127))","[5,7]"
48,48,"POLYGON ((-77.07487913579403 38.95248820506855, -77.07487913579403 38.959473767233916, -77.06589598295284 38.959473767233916, -77.06589598295284 38.95248820506855, -77.07487913579403 38.95248820506855))","[5,6]"
49,49,"POLYGON ((-77.07487913579403 38.959473767233916, -77.07487913579403 38.96645864078138, -77.06589598295284 38.96645864078138, -77.06589598295284 38.959473767233916, -77.07487913579403 38.959473767233916))","[5,5]"
50,50,"POLYGON ((-77.07487913579403 38.96645864078138, -77.07487913579403 38.97344282567505, -77.06589598295284 38.97344282567505, -77.06589598295284 38.96645864078138, -77.07487913579403 38.96645864078138))","[5,4]"
51,51,"POLYGON ((-77.07487913579403 38.97344282567505, -77.07487913579403 38.980426321879044, -77.06589598295284 38.980426321879044, -77.06589598295284 38.97344282567505, -77.07487913579403 38.97344282567505))","[5,3]"
52,52,"POLYGON ((-77.06589598295284 38.875601582785485, -77.06589598295284 38.88259471736445, -77.05691283011164 38.88259471736445, -77.05691283011164 38.875601582785485, -77.06589598295284 38.875601582785485))","[6,17]"
53,53,"POLYGON ((-77.06589598295284 38.88259471736445, -77.06589598295284 38.88958716372352, -77.05691283011164 38.88958716372352, -77.05691283011164 38.88259471736445, -77.06589598295284 38.88259471736445))","[6,16]"
54,54,"POLYGON ((-77.06589598295284 38.88958716372352, -77.06589598295284 38.89657892182632, -77.05691283011164 38.89657892182632, -77.05691283011164 38.88958716372352, -77.06589598295284 38.88958716372352))","[6,15]"
55,55,"POLYGON ((-77.06589598295284 38.89657892182632, -77.06589598295284 38.90356999163647, -77.05691283011164 38.90356999163647, -77.05691283011164 38.89657892182632, -77.06589598295284 38.89657892182632))","[6,14]"
56,56,"POLYGON ((-77.06589598295284 38.90356999163647, -77.06589598295284 38.91056037311766, -77.05691283011164 38.91056037311766, -77.05691283011164 38.90356999163647, -77.06589598295284 38.90356999163647))","[6,13]"
57,57,"POLYGON ((-77.06589598295284 38.91056037311766, -77.06589598295284 38.917550066233616, -77.05691283011164 38.917550066233616, -77.05691283011164 38.91056037311766, -77.06589598295284 38.91056037311766))","[6,12]"
58,58,"POLYGON ((-77.06589598295284 38.917550066233616, -77.06589598295284 38.92453907094813, -77.05691283011164 38.92453907094813, -77.05691283011164 38.917550066233616, -77.06589598295284 38.917550066233616))","[6,11]"
59,59,"POLYGON ((-77.06589598295284 38.92453907094813, -77.06589598295284 38.93152738722498, -77.05691283011164 38.93152738722498, -77.05691283011164 38.92453907094813, -77.06589598295284 38.92453907094813))","[6,10]"
60,60,"POLYGON ((-77.06589598295284 38.93152738722498, -77.06589598295284 38.938515015028074, -77.05691283011164 38.938515015028074, -77.05691283011164 38.93152738722498, -77.06589598295284 38.93152738722498))","[6,9]"
61,61,"POLYGON ((-77.06589598295284 38.938515015028074, -77.06589598295284 38.94550195432127, -77.05691283011164 38.94550195432127, -77.05691283011164 38.938515015028074, -77.06589598295284 38.938515015028074))","[6,8]"
62,62,"POLYGON ((-77.06589598295284 38.94550195432127, -77.06589598295284 38.95248820506855, -77.05691283011164 38.95248820506855, -77.05691283011164 38.94550195432127, -77.06589598295284 38.94550195432127))","[6,7]"
63,63,"POLYGON ((-77.06589598295284 38.95248820506855, -77.06589598295284 38.959473767233916, -77.05691283011164 38.959473767233916, -77.05691283011164 38.95248820506855, -77.06589598295284 38.95248820506855))","[6,6]"
64,64,"POLYGON ((-77.06589598295284 38.959473767233916, -77.06589598295284 38.96645864078138, -77.05691283011164 38.96645864078138, -77.05691283011164 38.959473767233916, -77.06589598295284 38.959473767233916))","[6,5]"
65,65,"POLYGON ((-77.06589598295284 38.96645864078138, -77.06589598295284 38.97344282567505, -77.05691283011164 38.97344282567505, -77.05691283011164 38.96645864078138, -77.06589598295284 38.96645864078138))","[6,4]"
66,66,"POLYGON ((-77.06589598295284 38.97344282567505, -77.06589598295284 38.980426321879044, -77.05691283011164 38.980426321879044, -77.05691283011164 38.97344282567505, -77.06589598295284 38.97344282567505))","[6,3]"
67,67,"POLYGON ((-77.06589598295284 38.980426321879044, -77.06589598295284 38.987409129357545, -77.05691283011164 38.987409129357545, -77.05691283011164 38.980426321879044, -77.06589598295284 38.980426321879044))","[6,2]"
68,68,"POLYGON ((-77.05691283011164 38.868607760023096, -77.05691283011164 38.875601582785485, -77.04792967727045 38.875601582785485, -77.04792967727045 38.868607760023096, -77.05691283011164 38.868607760023096))","[7,19]"
69,69,"POLYGON ((-77.05691283011164 38.875601582785485, -77.05691283011164 38.88259471736445, -77.04792967727045 38.88259471736445, -77.04792967727045 38.875601582785485, -77.05691283011164 38.875601582785485))","[7,17]"
70,70,"POLYGON ((-77.05691283011164 38.88259471736445, -77.05691283011164 38.88958716372352, -77.04792967727045 38.88958716372352, -77.04792967727045 38.88259471736445, -77.05691283011164 38.88259471736445))","[7,16]"
71,71,"POLYGON ((-77.05691283011164 38.88958716372352, -77.05691283011164 38.89657892182632, -77.04792967727045 38.89657892182632, -77.04792967727045 38.88958716372352, -77.05691283011164 38.88958716372352))","[7,15]"
72,72,"POLYGON ((-77.05691283011164 38.89657892182632, -77.05691283011164 38.90356999163647, -77.04792967727045 38.90356999163647, -77.04792967727045 38.89657892182632, -77.05691283011164 38.89657892182632))","[7,14]"
73,73,"POLYGON ((-77.05691283011164 38.90356999163647, -77.05691283011164 38.91056037311766, -77.04792967727045 38.91056037311766, -77.04792967727045 38.90356999163647, -77.05691283011164 38.90356999163647))","[7,13]"
74,74,"POLYGON ((-77.05691283011164 38.91056037311766, -77.05691283011164 38.917550066233616, -77.04792967727045 38.917550066233616, -77.04792967727045 38.91056037311766, -77.05691283011164 38.91056037311766))","[7,12]"
75,75,"POLYGON ((-77.05691283011164 38.917550066233616, -77.05691283011164 38.92453907094813, -77.04792967727045 38.92453907094813, -77.04792967727045 38.917550066233616, -77.05691283011164 38.917550066233616))","[7,11]"
76,76,"POLYGON ((-77.05691283011164 38.92453907094813, -77.05691283011164 38.93152738722498, -77.04792967727045 38.93152738722498, -77.04792967727045 38.92453907094813, -77.05691283011164 38.92453907094813))","[7,10]"
77,77,"POLYGON ((-77.05691283011164 38.93152738722498, -77.05691283011164 38.938515015028074, -77.04792967727045 38.938515015028074, -77.04792967727045 38.93152738722498, -77.05691283011164 38.93152738722498))","[7,9]"
78,78,"POLYGON ((-77.05691283011164 38.938515015028074, -77.05691283011164 38.94550195432127, -77.04792967727045 38.94550195432127, -77.04792967727045 38.938515015028074, -77.05691283011164 38.938515015028074))","[7,8]"
79,79,"POLYGON ((-77.05691283011164 38.94550195432127, -77.05691283011164 38.95248820506855, -77.04792967727045 38.95248820506855, -77.04792967727045 38.94550195432127, -77.05691283011164 38.94550195432127))","[7,7]"
80,80,"POLYGON ((-77.05691283011164 38.95248820506855, -77.05691283011164 38.959473767233916, -77.04792967727045 38.959473767233916, -77.04792967727045 38.95248820506855, -77.05691283011164 38.95248820506855))","[7,6]"
81,81,"POLYGON ((-77.05691283011164 38.959473767233916, -77.05691283011164 38.96645864078138, -77.04792967727045 38.96645864078138, -77.04792967727045 38.959473767233916, -77.05691283011164 38.959473767233916))","[7,5]"
82,82,"POLYGON ((-77.05691283011164 38.96645864078138, -77.05691283011164 38.97344282567505, -77.04792967727045 38.97344282567505, -77.04792967727045 38.96645864078138, -77.05691283011164 38.96645864078138))","[7,4]"
83,83,"POLYGON ((-77.05691283011164 38.97344282567505, -77.05691283011164 38.980426321879044, -77.04792967727045 38.980426321879044, -77.04792967727045 38.97344282567505, -77.05691283011164 38.97344282567505))","[7,3]"
84,84,"POLYGON ((-77.05691283011164 38.980426321879044, -77.05691283011164 38.987409129357545, -77.04792967727045 38.987409129357545, -77.04792967727045 38.980426321879044, -77.05691283011164 38.980426321879044))","[7,2]"
85,85,"POLYGON ((-77.05691283011164 38.987409129357545, -77.05691283011164 38.99439124807475, -77.04792967727045 38.99439124807475, -77.04792967727045 38.987409129357545, -77.05691283011164 38.987409129357545))","[7,1]"
86,86,"POLYGON ((-77.04792967727045 38.7916303, -77.04792967727045 38.798631690361624, -77.03894652442925 38.798631690361624, -77.03894652442925 38.7916303, -77.04792967727045 38.7916303))","[8,30]"
87,87,"POLYGON ((-77.04792967727045 38.798631690361624, -77.04792967727045 38.805632392943714, -77.03894652442925 38.805632392943714, -77.03894652442925 38.798631690361624, -77.04792967727045 38.798631690361624))","[8,29]"
88,88,"POLYGON ((-77.04792967727045 38.812632407709344, -77.04792967727045 38.819631734621595, -77.03894652442925 38.819631734621595, -77.03894652442925 38.812632407709344, -77.04792967727045 38.812632407709344))","[8,27]"
89,89,"POLYGON ((-77.04792967727045 38.819631734621595, -77.04792967727045 38.826630373643624, -77.03894652442925 38.826630373643624, -77.03894652442925 38.819631734621595, -77.04792967727045 38.819631734621595))","[8,26]"
90,90,"POLYGON ((-77.04792967727045 38.826630373643624, -77.04792967727045 38.833628324738626, -77.03894652442925 38.833628324738626, -77.03894652442925 38.826630373643624, -77.04792967727045 38.826630373643624))","[8,25]"
91,91,"POLYGON ((-77.04792967727045 38.833628324738626, -77.04792967727045 38.84062558786984, -77.03894652442925 38.84062558786984, -77.03894652442925 38.833628324738626, -77.04792967727045 38.833628324738626))","[8,24]"
92,92,"POLYGON ((-77.04792967727045 38.84062558786984, -77.04792967727045 38.847622163000544, -77.03894652442925 38.847622163000544, -77.03894652442925 38.84062558786984, -77.04792967727045 38.84062558786984))","[8,23]"
93,93,"POLYGON ((-77.04792967727045 38.86161324911378, -77.04792967727045 38.868607760023096, -77.03894652442925 38.868607760023096, -77.03894652442925 38.86161324911378, -77.04792967727045 38.86161324911378))","[8,20]"
94,94,"POLYGON ((-77.04792967727045 38.868607760023096, -77.04792967727045 38.875601582785485, -77.03894652442925 38.875601582785485, -77.03894652442925 38.868607760023096, -77.04792967727045 38.868607760023096))","[8,19]"
95,95,"POLYGON ((-77.04792967727045 38.875601582785485, -77.04792967727045 38.88259471736445, -77.03894652442925 38.88259471736445, -77.03894652442925 38.875601582785485, -77.04792967727045 38.875601582785485))","[8,17]"
